,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
0,Jos Buttler,17,17,2,863,116,57.53,579,149.05,4,4,83,45
1,K L Rahul,15,15,3,616,103,51.33,455,135.38,2,4,45,30
2,Quinton De Kock,15,15,1,508,140,36.29,341,148.97,1,3,47,23
3,Hardik Pandya,15,15,4,487,87,44.27,371,131.26,0,4,49,12
4,Shubman Gill,16,16,2,483,96,34.5,365,132.32,0,4,51,11
5,David Miller,16,16,9,481,94,68.71,337,142.72,0,2,32,23
6,Faf Du Plessis,16,16,1,468,96,31.2,367,127.52,0,3,49,13
7,Shikhar Dhawan,14,14,2,460,88,38.33,375,122.66,0,3,47,12
8,Sanju Samson,17,17,1,458,55,28.63,312,146.79,0,2,43,26
9,Deepak Hooda,15,14,0,451,59,32.21,330,136.66,0,4,36,18
10,Liam Livingstone,14,14,2,437,70,36.42,240,182.08,0,4,29,34
11,David Warner,12,12,3,432,92,48.0,287,150.52,0,5,52,15
12,Abhishek Sharma,14,14,0,426,75,30.43,320,133.12,0,2,47,13
13,Ishan Kishan,14,14,1,418,81,32.15,348,120.11,0,3,45,11
14,Rahul Tripathi,14,14,3,413,76,37.55,261,158.23,0,3,40,20
15,Shreyas Iyer,14,14,1,401,85,30.85,298,134.56,0,3,41,11
16,Tilak Varma,14,14,3,397,61,36.09,303,131.02,0,2,29,16
17,Aiden Markram,14,12,4,381,68,47.63,274,139.05,0,3,25,19
18,Devdutt Padikkal,17,17,0,376,54,22.12,306,122.87,0,1,40,14
19,Ruturaj Gaikwad,14,14,0,368,99,26.29,291,126.46,0,3,33,14
20,Nitish Rana,14,14,1,361,57,27.77,251,143.82,0,2,29,22
21,Virat Kohli,16,16,1,341,73,22.73,294,115.98,0,2,32,8
22,Rishabh Pant,14,13,2,340,44,30.91,224,151.78,0,0,35,16
23,Andre Russell,14,12,3,335,70,37.22,192,174.47,0,1,18,32
24,Rajat Patidar,8,7,1,333,112,55.5,218,152.75,1,2,27,18
25,Dinesh Karthik,16,16,10,330,66,55.0,180,183.33,0,1,27,22
26,Wriddhiman Saha,11,11,1,317,68,31.7,259,122.39,0,3,40,7
27,Shimron Hetmyer,15,15,8,314,59,44.86,204,153.92,0,1,21,21
28,Nicholas Pooran,14,13,5,306,64,38.25,212,144.33,0,2,16,21
29,Suryakumar Yadav,8,8,1,303,68,43.29,208,145.67,0,3,23,16
30,Glenn Maxwell,13,13,2,301,55,27.36,178,169.1,0,1,31,15
31,Shivam Dube,11,11,1,289,95,28.9,185,156.21,0,2,22,16
32,Prithvi Shaw,10,10,0,283,61,28.3,185,152.97,0,2,37,10
33,Ambati Rayudu,13,11,0,274,78,24.91,224,122.32,0,1,25,15
34,Rohit Sharma,14,14,0,268,48,19.14,223,120.17,0,0,28,13
35,Yashasvi Jaiswal,10,10,0,258,68,25.8,194,132.98,0,2,28,10
36,Jonny Bairstow,11,11,0,253,66,23.0,175,144.57,0,2,34,9
37,Devon Conway,7,7,1,252,87,42.0,173,145.66,0,3,22,12
38,Mitchell Marsh,8,8,0,251,89,31.38,189,132.8,0,2,19,14
39,Rovman Powell,14,12,2,250,67,25.0,167,149.7,0,1,10,22
40,Moeen Ali,10,10,0,244,93,24.4,177,137.85,0,1,24,11
41,Jitesh Sharma,12,10,2,234,44,29.25,143,163.63,0,0,22,12
42,MS Dhoni,14,13,6,232,50,33.14,188,123.4,0,1,21,10
43,Robin Uthappa,12,11,0,230,88,20.91,171,134.5,0,2,19,14
44,Shahbaz Ahmed,16,11,3,219,45,27.38,181,120.99,0,0,14,9
45,Rahul Tewatia,16,12,5,217,43,31.0,147,147.61,0,0,22,9
46,Kane Williamson,13,13,2,216,57,19.64,231,93.5,0,1,16,8
47,Bhanuka Rajapaksa,9,9,0,206,43,22.89,129,159.68,0,0,16,13
48,Mayank Agarwal,13,12,0,196,52,16.33,160,122.5,0,1,23,6
49,Ravichandran Ashwin,17,12,5,191,50,27.29,135,141.48,0,1,14,9
50,Tim David,8,8,3,186,46,37.2,86,216.27,0,0,12,16
51,Riyan Parag,17,14,3,183,56,16.64,132,138.63,0,1,11,10
52,Krunal Pandya,14,13,4,183,42,20.33,145,126.2,0,0,16,4
53,Axar Patel,13,10,6,182,42,45.5,120,151.66,0,0,12,10
54,Venkatesh Iyer,12,12,1,182,50,16.55,169,107.69,0,1,17,7
55,Rinku Singh,7,7,2,174,42,34.8,117,148.71,0,0,17,7
56,Sam Billings,8,8,1,169,36,24.14,138,122.46,0,0,9,10
57,Dewald Brevis,7,7,0,161,49,23.0,113,142.47,0,0,14,11
58,Ayush Badoni,13,11,3,161,54,20.13,130,123.84,0,1,11,7
59,Lalit Yadav,12,8,1,161,48,23.0,146,110.27,0,0,11,7
60,Matthew Wade,10,10,0,157,35,15.7,138,113.76,0,0,23,2
61,Marcus Stoinis,11,10,2,156,38,19.5,106,147.16,0,0,7,13
62,Sai Sudharsan,5,5,1,145,65,36.25,114,127.19,0,1,14,3
63,Kieron Pollard,11,11,1,144,25,14.4,134,107.46,0,0,6,9
64,Ajinkya Rahane,7,7,0,133,44,19.0,128,103.9,0,0,14,4
65,Anuj Rawat,8,8,0,129,66,16.13,118,109.32,0,1,10,7
66,Shardul Thakur,14,10,2,120,29,15.0,87,137.93,0,0,7,7
67,Shahrukh Khan,8,8,1,117,26,16.71,108,108.33,0,0,4,9
68,Ravindra Jadeja,10,10,4,116,26,19.33,98,118.36,0,0,6,5
69,Abhinav Manohar,8,7,1,108,43,18.0,75,144.0,0,0,14,3
70,Washington Sundar,9,7,0,101,40,14.43,69,146.37,0,0,9,3
71,Rashid Khan,16,8,4,91,40,22.75,44,206.81,0,0,3,9
72,Sarfaraz Khan,6,5,2,91,36,30.33,67,135.82,0,0,9,2
73,Manish Pandey,6,6,0,88,38,14.67,80,110.0,0,0,9,2
74,Mahipal Lomror,7,5,0,86,42,17.2,57,150.87,0,0,7,4
75,Aaron Finch,5,5,0,86,58,17.2,61,140.98,0,1,10,3
76,Rahul Chahar,13,8,2,77,25,12.83,68,113.23,0,0,7,4
77,Evin Lewis,6,5,2,73,55,24.33,56,130.35,0,1,8,3
78,Sunil Narine,14,10,2,71,22,8.88,40,177.5,0,0,6,6
79,Shashank Singh,10,5,1,69,25,17.25,47,146.8,0,0,5,4
80,Suyash S Prabhudessai,5,5,0,67,34,13.4,59,113.55,0,0,7,2
81,Pat Cummins,5,5,1,63,56,15.75,24,262.5,0,1,5,6
82,Jaydev Unadkat,5,5,2,59,19,19.67,37,159.45,0,0,4,3
83,Romario Shepherd,3,3,1,58,26,29.0,41,141.46,0,0,2,5
84,Jason Holder,12,8,2,58,16,9.67,44,131.81,0,0,2,6
85,Umesh Yadav,12,7,3,55,21,13.75,40,137.5,0,0,4,4
86,Odean Smith,6,6,3,51,25,17.0,44,115.9,0,0,1,5
87,Kagiso Rabada,13,8,3,48,25,9.6,43,111.62,0,0,5,2
